ID,Predicted_Salary
sj_99ad4f80ae7f4835,96465.19809999998
job_6ff7f1a7c400916a,104450.02
job_e059d20eba88b17a,118390.79600000002
job_79f7953813b13358,101672.927
job_892dfe86b96f322b,104049.921
job_5ffcc6ebb3e33e5d,101832.609
job_cbe45b2561767953,104662.925
job_0ca8e49c1cb52803,155729.195
job_1604b5d8eaefa226,111106.6355
job_06739208cdbb9dff,134157.6
job_3032b23526757af8,98603.57100000001
job_641e1ddd07980c0b,109588.585
job_03dc148b288f7823,105153.054
job_9abff3074a977099,104654.04
job_a4d1003bb7b676fb,70423.259
sj_20a7d3dec3b48421,100586.495
job_2cb77f1f8cb54844,105492.735
job_bab637794f4ba409,75156.705
job_fbeced04ee8721ca,104222.505
job_1ef2e34ce3ce6d85,55358.827000000005
job_520f651f9f62cdcd,96537.73149999998
job_2e328f242b1bcc41,104391.79
job_a24a2d53592b9e9b,87784.884
job_25cd59ccbba24a84,152894.455
job_dc075cbc3c2a17db,155488.98599999998
job_bfdb9565ce8b1a1d,101621.26600000002
job_65e40641c76f33b9,107304.335
job_eb64e40bf74b31eb,104368.78
job_6bc38d15c6daa944,101423.75
job_8e863ea40b00fdb2,105213.773
job_ec97a494ada30a9e,105033.35
job_67a9ada627fbfc77,112648.685
job_4f30b57ab5ca896d,123139.79
job_a7d7d37f766e39b3,102658.886
job_b49d351ebce2c868,104854.77030000002
sj_6ec105e02fecfc26,112648.81714285715
job_9e3f68420e860d17,94950.52650000002
job_f3a3c4f8abc9c5d9,103796.16699999999
job_d1fa1de695cb05c3,107599.21
job_c6e25cfa2243379d,101116.01328571427
job_a1425748b35c3858,126296.825
job_6c35f3460540791a,104290.109
job_8978c48b9df2a67a,88976.91
job_45b48d2d1b6bb31e,102129.645
job_4c49b39be6488065,76357.255
job_4815ea4bc2aff1de,101366.135
job_2f54932743eea129,75171.345
job_dff61b7b7ba1047b,112145.20675000001
job_9cbbdce28074bc1b,107546.64166666666
job_72e64f2f87ed9216,64749.13300000001
job_a01b358524ce3fb5,102852.18399999998
job_25b3a5b49af57755,106579.78314285714
job_3a3179362d83f96a,217463.4
job_407644a2d6db0cb3,103796.795
job_ec70d754c9a78f9d,104379.495
job_ef1eb61be8ebd651,144035.95425
job_ccd9d9003f749c7d,102824.185
job_321902319c50905e,104993.595
job_64c4f05f25ec26b0,103295.0874
job_0ab59b5166a96c76,106571.41
job_84d8c5d465f7a549,98713.76333333334
job_148b96ad4a1fbd34,102641.00700000001
job_3d5ed7e45d3f3326,109465.74714285714
sj_d1788ddc21e6077c,90175.836
job_58dc0215a8e14869,101487.024
job_7e90299f7634c3d4,94843.19100000002
job_e74a22cc1d2a6bfc,94670.37
job_38bd851e6c8f2c86,105817.37
job_d595cda27708226f,151040.84915000002
job_ba168089d608e29a,66616.04733333334
job_08769cdbc233a7b8,94364.7226
job_271a65176076629e,103596.242
job_84f2594f76518101,59691.128
job_083784f6a7f17ea1,109395.141
job_efb07e4568ea291a,56369.76399999992
job_d3375c5ca1ebe7a6,101471.73199999999
job_2e200313d018a705,103569.991
job_add9918a786a5540,173832.22
job_f4924c3c1aa47d80,100948.146
job_bff9e84dffbc7489,104778.625
job_1cddcdecbe005a22,105335.61300000001
job_144e4bbf9d4753c5,57291.469000000005
job_815ae3f04f299691,103219.13733333335
job_a20b0d2c540583c4,100593.515
job_6709719c9fc9ff28,119152.234
job_30ff407e393f4865,96839.26185000001
job_13f0b7b3ef6bc6bf,111432.52455
job_3afc38f1bcb98341,101979.68699999999
job_52b85bd40da5ea1c,109936.805
job_5419efc2b840f23c,104456.12599999999
job_fac12d93b26aefd2,100699.776
job_14b4ba370785cfff,46103.344000000005
job_3aa6b1e801719aaf,133093.635
job_f3a0de8fa33c81de,80471.6125
job_c54e36de35505f6c,100366.04164999998
job_9ce04f73c49c18cb,100311.545
job_1ee97f9598524da6,121686.1
job_3558b5557d859af8,103063.01399999998
job_276a993817dee7ea,92771.1492
job_8cf4e7dc82df2fcb,110932.92
job_d895736bc57fb95e,103300.67533333333
job_3b57d6a225c3342d,110051.505
job_07fa0d9619a16c9c,111944.38699999999
job_07fcbae759ef80d3,87443.095
job_a95c88cde7566dc9,51560.094999999994
job_7d623bb0f66df2b4,103228.01400000001
job_75fd71e866f2916f,103305.141
job_4096622853b70cab,104712.76400000001
job_f054d0196c44544f,105085.32600000002
job_0bb7a0f26fb237d0,101483.20300000001
job_3dc0a947dd22a138,95750.24700000002
job_90a102114483b807,103238.98
job_ab48c7124ef2f0b8,73391.72600000001
job_b4b35f51b35af952,101988.11
job_1ab61ce0f5967f86,107375.755
job_9d3567e982e3c7ee,62276.581000000006
job_e330d1a5a9f14ab9,89664.59479999999
job_bc20a5a75c84e6a5,104317.52
job_052af0c25c38293b,61312.081133333326
job_5796cba4a07b2ea4,89100.173
job_24c2b74c7baab720,98362.345
job_e83792975db96953,137173.66
job_52343b11da36bcdd,102531.5624
job_f1a0b94f9c5914c3,39037.348000000005
job_135e20576a0230b9,107811.911
job_9250696bd66ab08c,99440.20199999999
job_1e73dcfa76b62ba4,101556.58300000001
job_82678754f33937d7,103064.90128571428
job_15edfa6db631d9cb,114910.47300000001
job_c2b5965e9242d3f5,172212.385
job_6b100a4f94106248,104744.771
job_3b3c98161be81a24,104949.08
job_1c5826bc4c1f2d89,77544.16
job_98bb094a59a14474,102126.53033333333
job_d0166ee560ddc1e6,105185.462
job_ab27c57bd316195e,100557.653
job_31c2bf8cc3c7f260,103241.445
job_b2a592ba94ca5587,117467.92199999999
job_a5dbc34d60311f4f,104940.71
job_9469b881cdfee6ee,119226.85100000001
job_5be1868f695d9b35,95665.255
job_ce5821574cfe1ba5,101370.214
job_9a84702b044eb02a,121550.19824999997
job_e17f4d5999cc2511,86726.42100000002
job_912bbf453424add2,94656.748
job_3ddcf65b1837221e,86333.97299999998
job_43273f8b6d221af9,130431.27866666667
job_19af3740ef556b73,99317.56000000001
job_948639c8d698b7b1,112132.054
job_c538b458f4e5c0b3,104980.382
job_e0303db38a9d84a0,108453.875
job_4cf9f983926d6f6f,68931.35310000001
job_391e5fcb695d6000,103965.401
job_d5632ab40cd2769b,84583.705
job_23d2bd72ae87e640,95894.68745000001
job_e9b1ee495dc0416a,106384.53714285712
job_883f614dadf15a05,103840.655
job_f5322c46ea5ccddb,62808.098000000005
job_e57e3d4bba1d734e,105898.715
job_cf2dedcf5b3b2dc7,115564.271
job_dbdc63c36511f51f,103231.31375
job_f1ec8e5a0ec4aa15,105336.25099999999
job_af3d957c0d32122b,91100.052
job_77219d196efe6a50,83866.1025
job_0d63e1f1ad992905,94569.635
job_9ec649c1a6d96e9c,103033.38666666666
job_5efc687dbb16bf98,62618.3475
job_2f18de39376b1918,103458.63699999999
job_93e267d752272778,185275.265
job_7e187421af710d98,102177.02600000001
job_eca75d3be8a96406,53403.820999999996
job_94e2ce5297038a7d,109349.81514285716
job_55843cb34b397d78,106129.615
job_e5a0d2a8a76eb698,89792.18
job_310d40de2c15507e,101647.3
job_1a97f116de9afab7,105508.549
job_832fe2e0c7fa7a00,93320.49299999999
